.++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++.
|                                                                                                      |
|                           Generate by Oorth [https://github.com/Oorth]                               | 
|                                      Win10 Home Single Language                                      |
|                                        10.0.19045 Build 19045                                        |
|                                                                                                      |
.++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++.

[366]	[0x00007FF80AB8CCC0]	NtGetContextThread
[367]	[0x00007FF80AB8CD40]	NtGetCurrentProcessorNumber
[368]	[0x00007FF80AB8CDC0]	NtGetCurrentProcessorNumberEx
[369]	[0x00007FF80AB8CE40]	NtGetDevicePowerState
[370]	[0x00007FF80AB8CEC0]	NtGetMUIRegistryInfo
[371]	[0x00007FF80AB8CF40]	NtGetNextProcess
[372]	[0x00007FF80AB8CFC0]	NtGetNextThread
[373]	[0x00007FF80AB8D040]	NtGetNlsSectionPtr
[374]	[0x00007FF80AB8D0C0]	NtGetNotificationResourceManager
[375]	[0x00007FF80ACA7300]	NtGetTickCount
[376]	[0x00007FF80AB8D140]	NtGetWriteWatch
[377]	[0x00007FF80AB8D1C0]	NtImpersonateAnonymousToken
[378]	[0x00007FF80AB86300]	NtImpersonateClientOfPort
[379]	[0x00007FF80AB8D240]	NtImpersonateThread
[380]	[0x00007FF80AB8D2C0]	NtInitializeEnclave
[381]	[0x00007FF80AB8D340]	NtInitializeNlsFiles
[382]	[0x00007FF80AB8D3C0]	NtInitializeRegistry
[383]	[0x00007FF80AB8D440]	NtInitiatePowerAction
[384]	[0x00007FF80AB87B00]	NtIsProcessInJob
[385]	[0x00007FF80AB8D4C0]	NtIsSystemResumeAutomatic
[386]	[0x00007FF80AB8D540]	NtIsUILanguageComitted
[387]	[0x00007FF80AB8D5C0]	NtListenPort
[388]	[0x00007FF80AB8D640]	NtLoadDriver
[389]	[0x00007FF80AB8D6C0]	NtLoadEnclaveData
[390]	[0x00007FF80AB8D740]	NtLoadKey
[391]	[0x00007FF80AB8D7C0]	NtLoadKey2
[392]	[0x00007FF80AB93EC0]	NtLoadKey3
[393]	[0x00007FF80AB8D840]	NtLoadKeyEx
[394]	[0x00007FF80AB8D8C0]	NtLockFile
[395]	[0x00007FF80AB8D940]	NtLockProductActivationKeys
[396]	[0x00007FF80AB8D9C0]	NtLockRegistryKey
[397]	[0x00007FF80AB8DA40]	NtLockVirtualMemory
[398]	[0x00007FF80AB8DAC0]	NtMakePermanentObject
[399]	[0x00007FF80AB8DB40]	NtMakeTemporaryObject
[400]	[0x00007FF80AB8DBC0]	NtManageHotPatch
[401]	[0x00007FF80AB8DC40]	NtManagePartition
[402]	[0x00007FF80AB8DCC0]	NtMapCMFModule
[403]	[0x00007FF80AB8DD40]	NtMapUserPhysicalPages
